,answer,question,global_conducivity,rhetoricity,relevance_rate,manner_rate,quality_rate,Committment_value,consistency_value,outcome_reason,outcome_value,annotator,which_qud,bias_question,what_bias_exp,detri_cond_explanation,relevance_binary,manner_binary,quality_binary,NRA,bat,pat,bat_cumsum,pat_cumsum,Z_BaT,Z_PaT,ZNRBaT,net_ZNRBaT
10,"I shared in the nineteen seventy-nine Pulitzer Prize for public service, yes.","I also understand, Doctor Ofshe, that you've won a Pulitzer Prize?",1,0,1,1,2,2,0,"{'choices': ['I choose this side because of framing of the other side as creditless/bad.[Crediblity establishment]', 'I choose this side because my personal emotions and bias towards this side/the other side. [Emotions]']}",Witness,katkazanas@gmail.com,,Rising Declarative,The witness has won a pulitzer prize.,,0,0,0,1,1.0,0.0,8.5,0.0,-1.1499459715038471,-1.8708286933869698,-0.2386416736943794,0.7208827218831226
11,"That was for work I did with the publisher of small weekly newspaper in West Marin County, California. We did an expose of a group called Synanon which started out as a drug rehabilitation. organization and. turned into a violent cult group that was assaulting and attempting to murder people in the immediate area. It became quite a major subject and that year we were lucky enough to be awarded a Pulitzer Prize.","And what was that for-- I mean, what was the subject of your---",1,0,1,1,2,2,0,I choose this side because of framing of the other side as creditless/bad.[Crediblity establishment],Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,9.5,0.0,-1.086031903392032,-1.8708286933869698,-0.2654155528501549,0.7847967899949377
12,"Yes. I'm a member of the American Psychological Association, the American Sociological Association, the American Psychological Society, the Sociologic Practice Association, and the Pacific Sociologic Association.",Are you a member of any professional associations?,1,0,1,1,2,2,0,"{'choices': ['I choose this side because of their logical arguments are convincing.[Logical facts]', 'I choose this side because of framing of the other side as creditless/bad.[Crediblity establishment]']}",Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,10.5,0.0,-1.022117835280217,-1.8708286933869698,-0.2933724663406633,0.8487108581067528
13,"Oh, yes, I have. Starting in nineteen seventy-nine I served as consultant to Marin County Sheriff's Department and then subsequent to that the office of the Attorney General of the State of California, the office of the Attorney General of the state of Arizona, the United States Department of Justice -- both the tax division and the criminal division -- the Prosecuting Attorney of Jefferson County, West Virginia, the Los Angeles District Attorney's office, the Internal -- that's not a law enforcement agency, I guess. The United States Attorney's office in West Virginia, the Thurston County, Washington, prosecutor's office, currently the State's Attorney's office in Fort Lauderdale, Florida, and again for the United States Attorney's office in West Virginia'",Have you ever served as a consultant to any law enforcement agencies?,1,0,1,1,2,2,0,"{'choices': ['I choose this side because of their logical arguments are convincing.[Logical facts]', 'I choose this side because of framing of the other side as creditless/bad.[Crediblity establishment]']}",Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,11.5,0.0,-0.9582037671684019,-1.8708286933869698,-0.32259259621199576,0.9126249262185678
14,I don't believe -- I'll have to look at the list of cases in which I've testified.,Have you ever testified on behalf of the prosecution in a criminal case?,1,0,1,3,2,3,0,I choose this side because my personal emotions and bias towards this side/the other side. [Emotions],Witness,katkazanas@gmail.com,,,,,0,1,0,1,0.5,0.2,12.0,0.2,-0.9262467331124944,0.5345224838248499,3.729075285979287,-1.4607692169373443
15,"Yes, I do. I'm -- in fact I've been asked to -- in May of this year to -- at the request of the Supreme Court of the State of Florida -- been asked to address for a half day a judicial conference in Florida on the subject of false confessions.","Well, I'll go on to the next question. Do you lecture to groups regarding the influence of police tactics in false confessions?",1,0,1,1,2,2,0,"{'choices': ['I choose this side because of their logical arguments are convincing.[Logical facts]', 'I choose this side because of framing of the other side as creditless/bad.[Crediblity establishment]']}",Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,13.0,0.2,-0.8623326650006793,0.5345224838248499,4.261170729399311,-1.3968551488255292
16,"Yes, I have.",Have you been involved in both civil and criminal cases dealing with false confessions and confessions in general?,1,0,1,1,2,2,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,14.0,0.2,-0.7984185968888643,0.5345224838248499,5.05100687250508,-1.3329410807137143
17,"Confessions specifically thirteen -- I've testified thirteen separate times. I've been involved in many more cases. Much of the work that I do is consulting work that doesn't necessarily culminate in testimony. That's why I wasn't certain whether I had actually testified in this criminal matter. I'm scheduled to the week after next, but I can't at this moment think of another example where I already have.",How many -- excuse me -- how many cases dealing with confessions have you been involved in?,1,0,2,2,2,2,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,15.0,0.2,-0.7345045287770492,0.5345224838248499,6.345704750170087,-1.269027012601899
18,"Yes. Most -- most of the confession cases in which I've testified have been cases involving coerced or coerced false confessions and, therefore, my testimony has been principally for the defense in those cases.",Okay. Have you testified in court with regard to any confessions taken on the defense side? ....,1,0,1,1,2,3,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,0.5,0.0,15.5,0.2,-0.7025474947211416,0.5345224838248499,7.362415701966744,-1.2370699785459915
19,"Yes, sir.",Twenty-five times? In both state and federal courts?,1,0,1,1,2,2,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,Rising Declarative,"The witness has testified 25 times, in both the state and federal courts.",,0,0,0,1,1.0,0.0,16.5,0.2,-0.6386334266093266,0.5345224838248499,11.268324722241374,-1.1731559104341764
20,Yes. On influence in police interrogation in particular I've qualified and testified thirteen times. On influence in general I've been qualified and testified an additional twelve times making a total of twenty-five.,Have you been qualified as a expert by any court in the area of police interrogation tactics and influence on individuals during police interrogations tactics?,1,0,1,1,2,2,0,"{'choices': ['I choose this side because of their logical arguments are convincing.[Logical facts]', 'I choose this side because of framing of the other side as creditless/bad.[Crediblity establishment]']}",Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,17.5,0.2,-0.5747193584975115,0.5345224838248499,27.595226030763275,-1.1092418423223616
21,"Yes, I have.",Have you ever testified in the State of Arkansas?,1,0,1,1,2,3,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,0.5,0.0,18.0,0.2,-0.542762324441604,0.5345224838248499,130.74097647908476,-1.077284808266454
22,"In Fort Smith in federal court in a case brought by a young man and his family against a person named Tony Alamo who ran a cult group located in Fort Smith, and the case had to do with the beating of this child.",And where was that at?,1,0,2,1,2,3,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,0.5,0.0,18.5,0.2,-0.5108052903856964,0.5345224838248499,-44.07468265131531,-1.0453277742105462
23,I've been requested to analyze a total of forty-eight separate interrogations leading to confessions.,"How many confessions has you analyzed, Doctor?",1,0,1,1,2,2,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,19.5,0.2,-0.4468912222738814,0.5345224838248499,-11.199356128496643,-0.9814137060987314
24,"Yes, I have.",Okay. Have you ever taken a coerced confession or a false confession from someone?,1,0,1,1,2,2,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,20.5,0.2,-0.38297715416206635,0.5345224838248499,-6.05429174246757,-0.9174996379869162
25,"In one particular case I was called in by the prosecution with the putting together the investigation of what was believed to be a multiple murder and sex abuse crime case. In the course of my work on that case -- again at the request of the prosecution -- I had access to an individual who was confessing to all manner of heinous crimes. In the course of my interviewing of him I began to become suspicious as to the validity of the confessions that he had been giving now for five months on a series of subjects. At that point after hearing from him what happened during the interrogation and certain other things about his reactions to the interrogation, I determined that there was a possibility that he had been falsely confessing and I determined to run an experiment. I then invented a crime on the spot and told him that one of his sons and one of his daughters had said that he had done something in particular to them, and asked him if he could remember it. Initially he said, ""No."" He then started using the techniques that he had been using to try to remember these events and I simply allowed him to do that -- in fact, sent him away and asked him to continue doing this alone and within twenty-four hours using the techniques that he had learned in the course of his five month long interrogations, he produced for me the next day a three page written detailed confession including dialogue that supposedly happened during the crime -- to a crime that never happened that I invented and daughter who was supposedly involved in it confirmed never happened. I then concluded that this was a highly suggestible individual because I had now succeeded with very minimal effort in eliciting a false confession from him.",Can you give us an example of that?,1,0,1,1,2,2,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,21.5,0.2,-0.3190630860502513,0.5345224838248499,-3.96170034211306,-0.8535855698751011
26,"Yes, I have. Of the forty-eight separate interrogations I have been asked to analyze, fifty-five percent of the time my conclusion has been that the statement that was made was voluntary or it was impossible for me to make a determination and forty-five percent of the time that the particular statement that was elicited was either what's called a coerced compliant confession or what's called a coerced internalized confession -- these are two different types of confessions generally two different types of false confessions.",Have you been ever -- excuse me -- have you been able to break down your work into percentages with regards to analyzing these confessions and the work you've done with confessions?,1,0,2,1,2,2,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,22.5,0.2,-0.2551490179384362,0.5345224838248499,-2.8265801809694655,-0.789671501763286
27,"In the literature on interrogation and confession it was recognized that there are two kinds of involuntary and false confessions. One kind is called coerce compliant. This is a an-- inaccurate -- that is to say false statement -- that comes about because an individual no longer stand the strain of the interrogation and knowingly gives a statement that they know to be untrue. The other kind is much more complicated. It's called: a coerced internalized confession and this kind of statement arises when an individual actually becomes convinced that he or she has committed a crime that they had nothing to do with. The second kind of confession comes about out of the use of very special or very extraordinary influence techniques that operate in a particular way. It can occur by accident in the course of an ordinary police interrogation, but if it occurs certain things have to be present in the interrogation and they have to happen in a certain sequence in order to persuade someone that they've committed a crime of which they are innocent. The far more common kind of coerced statement is the coerced compliant statement when the individual simply gives up and agrees to say whatever they need to say because they can no longer stand the strain of what's going on.",Could you tell the jury the difference between these types of confessions?,1,0,1,1,2,3,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,0.5,0.0,23.0,0.2,-0.2231919838825287,0.5345224838248499,-2.4337945297609997,-0.7577144677073786
28,"Yes. I don't know of any -- any researcher, any scholar in this area -- who works in this area who does not acknowledge that false confessions come about in the course of police interrogation, and in fact, a few years ago there was a landmark study of miscarriages of Justice in capital cases in American history. A study done by Professors Bideau (phonetic) of the University of Michigan and Ratalid (phonetic) of the University of Florida published in the Stanford Law Review. In this study they identified three hundred and fifty examples of miscarriages -- false convictions in capital cases in American history. And using the standards that they developed to judge whether or not a particular conviction was a miscarriage of justice -- in other words an improper conviction -- they identified three hundred and fifty examples in which by their criteria, which often had to do with the real killer being found, the person ultimately being pardoned -- standards of that sort -- they identified three hundred and fifty examples where the jury had found someone guilty who was in fact innocent. In that study nineteen percent of the miscarriages were caused by false confessions given by the suspects","Doctor, is it possible for police interrogation tactics to produce a false confession?",1,0,2,1,2,2,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,24.0,0.2,-0.15927791577071362,0.5345224838248499,-1.848928561959808,-0.6938003995955635
29,"Generally, it's been found that individuals who are lacking in self-confidence, low self-esteem are more persuadable and also more likely to respond to coercive tactics. Individuals who are mentally handicapped are also at risk to responding to coercive and overly persuasive tactics.","Doctor Ofshe, are certain individuals more susceptible to coercive police tactic than others?",1,0,1,2,2,3,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,0.5,0.0,24.5,0.2,-0.1273208817148061,0.5345224838248499,-1.6253456816233174,-0.6618433655396561
30,"Ah, that -- that starts with determining whether or not the interrogation has been tape recorded, if the interrogation has been tape recorded in its entirety, then the analysis of the influence process during the interrogation is time consuming and -- is time consuming, but is fairly straightforward. When police agencies have not tape recorded the interrogation, the problem becomes much more complicated because it becomes necessary to try to reconstruct the events of the interrogation from the available information. So that in a case such as this case in which part of the interrogation was recorded and most of it was not, it becomes necessary to first try to identify what actually happened in the interrogation and the order in which things happened to then relate that to the statements that are undisputed. That is to say that parts of the interrogation which are recorded so that one can hook up the analysis or hook up the history of the interrogation as it occurred in the unrecorded part but as reported on by the police officers involved as well as the suspect, in order to try to rebuild and get a picture of how the interrogation progressed from start to step-by-step-by-step, and the changes that occurred over the course of the interrogation. Now, in this particular case this culminates in the two recorded statements which give us a great deal of information about what happened during the interrogation and illustrate certain things about the tactics that were used and the suggestibility of the suspect in terms of how he responded to particular tactics that are -- that are simply captured in the recorded part of the interrogation. Then because it is -- has been reported on in the literature as to the kinds of ideas that develop people's minds in response to extremely pressured interrogations, I usually---",Can you tell the jury what it is that you do when you analyze a 'confession?,2,0,2,1,2,3,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,What methods do you use to analyze confessions?,,,,0,0,0,1,0.5,0.0,25.0,0.2,-0.09536384765889856,0.5345224838248499,-1.43430250394922,-0.6298863314837485
31,Yes. The book you held up before is perhaps the authoritative work in the area at this point by Professor Gudjonsson and he cites numerous studies by himself by hundreds of other people that all contributes to the analysis of police interrogation.,"Let's back up to the scientific studies in this area, Doctor Ofshe, that you're familiar with regard to influence in police interrogation tactics. .... You mentioned the Stanford Law Review article. Are there any other treatises or studies you can refer to?",1,0,1,2,2,2,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,26.0,0.2,-0.031449779547083494,0.5345224838248499,-1.1250307531283543,-0.5659722633719334
32,Yes.,Are these theories and empirical studies commonly accepted by professionals in your field?,4,0,1,1,2,2,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,Are the theories and empirical studies discussed by the witness widely accepted among professionals in the field?,,,,0,0,0,1,1.0,0.0,27.0,0.2,0.032464288564731575,0.5345224838248499,-0.8854848467525619,-0.5020581952601183
33,"Yes, I did.","Doctor, I believe you stated earlier what you had to look at in this case with regard to Jessie Misskelley?",1,0,1,1,2,3,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,Rising Declarative,The witness previously stated what they looked at regarding Jessie Misskelley.,,0,0,0,1,0.5,0.0,27.5,0.2,0.06442132262063911,0.5345224838248499,-0.7848835836438282,-0.4701011612042108
34,"Yes, I did.",You read the transcripts of his statement to the police -- both statements?,4,0,1,1,2,2,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,Rising Declarative,The witness read both transcripts.,What materials did you use for your analysis?,0,0,0,1,1.0,0.0,28.5,0.2,0.12833539073245417,0.5345224838248499,-0.6127815760862337,-0.40618709309239576
35,Yes.,You've listened to the tapes?,4,0,1,1,2,2,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,What evidence or materials do you rely on when conducting your analysis?,Rising Declarative,The witness listened to the tapes.,,0,0,0,1,1.0,0.0,29.5,0.2,0.19224945884426925,0.5345224838248499,-0.47094969533848513,-0.34227302498058065
36,"Yes, I did.",You've also heard the officers testify at a previous hearing?,4,0,1,1,2,2,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,Rising Declarative,The witness heard the officers testify.,What materials did you use for your analysis?,0,0,0,1,1.0,0.0,30.5,0.2,0.2561635269560843,0.5345224838248499,-0.35204740323385736,-0.2783589568687656
37,"Yes, I have.",Have you formed an opinion with regard to the specific issue of the voluntary nature of the defendant's statements to the police?,1,0,1,1,1,3,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,0.5,0.0,31.0,0.2,0.28812056101199185,0.5345224838248499,-0.2995247141021267,-0.24640192281285805
38,"Yes, I do.","Doctor Ofshe, I need to rephrase the question for you. Do you have an opinion as to whether or not some of the interrogation tactics employed by the police against Mr. Misskelley were coercive in nature or overborne his will?",1,0,1,1,1,3,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,0.5,0.0,31.5,0.2,0.32007759506789935,0.5345224838248499,-0.25093010643620944,-0.21444488875695056
39,"Yes, I have.","Doctor, have you formed any opinions with regard to this case?",1,0,1,1,1,3,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,0.5,0.0,32.0,0.2,0.3520346291238069,0.5345224838248499,-0.20583880275247585,-0.182487854701043
40,"That the statement made by Jessie Misskelley was a product of the influence tactics brought to bear on him, and that it overbore his initial stated intention to maintain that he had nothing to do with this crime and was not there, and that it was a process of influence brought to bear represented by the interrogation tactics that progressively changed his statements about that subject.",Could you tell the Court your opinion?,1,0,1,2,2,2,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,33.0,0.2,0.41594869723562194,0.5345224838248499,-0.12475263737815943,-0.11857378658922796
41,"The interrogation forms a process in which one step builds on the preceding step. And so, for example, the interrogation changes dramatically prior to and then after the polygraph -- I assume it's all right at this point for me to discuss the polygraph.",Okay. Were there any other tactics in particular that -- that you thought were important?,4,0,1,1,2,2,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,What specific tactics do you believe influenced the confession?,,,,0,0,0,1,1.0,0.0,34.0,0.2,0.47986276534743705,0.5345224838248499,-0.053884575433262485,-0.054659718477412855
42,"Yes, I am.","First of all, Doctor, are you familiar with Mr. Holmes' report on the polygraph?",1,0,1,1,2,2,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,,0,0,0,1,1.0,0.0,35.0,0.2,0.5437768334592521,0.5345224838248499,0.008582356944926013,0.009254349634402192
43,"The polygraph as used in this interrogation has two effects. One based on the opinion formed by the polygrapher -- which as I'm aware Mr. Holmes says was an inappropriate opinion -- that Mr. Misskelley was ""lying his ass off."" That that created the circumstances under which the interrogators could shift to a -- an accusatory interrogation, one in which maximum pressure is brought to bear on the suspect and they then did precisely that. The second effect of the polygraph is that Mr. Misskelley was told that there existed this machine -- scientific machine that was recording that he had done something that he knew he had not done. While Mr. Misskelley reported to me that he did not believe the polygraph the fact that -- the fact that he was told that contributed to his sense of helplessness that he had which developed over the course of the interrogation. In conjunction with the other tactics and the other procedures of the interrogation the polygraph played an important role in swaying the influence process that was the entire interrogation and culminated with the two recorded statements.",Okay.,4,0,1,1,2,2,0,I choose this side because of their logical arguments are convincing.[Logical facts],Witness,katkazanas@gmail.com,,,,What specific tactics do you think influenced the defendant's statement. ,0,0,0,1,1.0,0.0,36.0,0.2,0.6076909015710672,0.5345224838248499,0.06405844886930252,0.0731684177462173
